	Brain_MD_7	Brain_MD_59	Brain_MD_20	Brain_MD_21	Brain_MD_50	Brain_MD_49	Brain_MD_45	Brain_MD_43	Brain_MD_8	Brain_MD_42	Brain_MD_1	Brain_MD_4	Brain_MD_55	Brain_MD_41	Brain_MD_37	Brain_MD_3	Brain_MD_34	Brain_MD_29	Brain_MD_13	Brain_MD_24	Brain_MD_65	Brain_MD_5	Brain_MD_66	Brain_MD_67	Brain_MD_58	Brain_MD_53	Brain_MD_56	Brain_MD_16	Brain_MD_40	Brain_MD_35	Brain_MD_30	Brain_MD_23	Brain_MD_28	Brain_MD_60
	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	CMD	DMD	DMD	DMD	DMD	DMD	DMD	DMD	DMD	DMD
AFFX-BioDn-3_at	159	10	31	259	282	438	10	68	10	100	10	148	10	10	10	10	10	10	224	123	10	331	10	10	10	239	16	58	10	10	259	15	344	262
AFFX-BioDn-3_st	10	320	118	181	110	84	65	10	10	249	62	66	10	10	27	10	73	123	89	10	10	91	301	123	10	88	84	76	127	10	17	145	82	151
AFFX-DapX-M_at	90	77	144	10	14	10	10	153	10	29	54	148	18	40	61	10	11	181	49	10	260	124	10	123	97	99	47	67	10	32	138	36	51	162
AFFX-HUMRGE/M10098_5_at	10	245	10	10	306	60	10	10	10	10	10	10	10	872	505	652	10	10	49	10	36	453	487	667	10	10	10	10	10	115	10	10	10	14
AFFX-HUMRGE/M10098_3_at	10	601	10	10	73	67	10	10	10	10	10	10	10	1447	10	339	10	10	42	10	10	121	45	283	10	10	10	10	10	10	10	10	10	10
AFFX-M27830_5_at	10	752	82	138	5577	265	49	17	280	480	1108	238	10	854	278	1275	95	121	44	86	93	1659	446	1370	10	60	86	49	31	110	10	58	76	12
AFFX-M27830_M_at	141	1495	466	1156	7152	1533	423	102	1714	13131	3482	1613	10	4490	10	4992	482	251	386	417	576	5752	1521	11132	336	653	891	53	291	12636	267	1055	282	292
AFFX-M27830_3_at	10	1164	10	201	218	10	101	43	10	10	10	91	10	10	57	10	163	10	10	10	292	445	386	182	164	57	193	46	268	45	10	46	10	197
AFFX-HUMGAPDH/M33197_3_st	63	315	162	90	208	35	10	211	256	37	74	178	10	58	92	176	55	10	10	10	98	232	72	156	10	10	93	10	73	167	10	214	10	128
